candidate_id,name,party,office,state,incumbent_status,cycle
S2GA00209,"BLACK, GARY",REP,S,GA,Challenger,2022
S2GA00274,"CHASE, OLIVER",LIB,S,GA,Challenger,2022
S2GA00266,"CLARK, JOSHUA STEPHEN",REP,S,GA,Challenger,2022
S2GA00217,"CRAIG, JARED B ESQ",REP,S,GA,Challenger,2022
S0GA00377,"DEJESUS, MARCKEITH",DEM,S,GA,Challenger,2022
S6GA00119,"ISAKSON, JOHN HARDY",REP,S,GA,Incumbent,2022
S2GA00308,"JACKSON, ANNETTE JACKSON",W,S,GA,Challenger,2022
S2GA00233,"JOHNSON, ERIC CHASE",IND,S,GA,Challenger,2022
S0GA00484,"JOHNSON-SHEALEY, TAMARA",DEM,S,GA,Challenger,2022
S2GA00183,"KING, KELVIN",REP,S,GA,Challenger,2022
S2GA00258,"LITCHFIELD, GEORGE E MR. II",CRV,S,GA,Challenger,2022
S2GA00241,"LITCHFIELD, GEORGE E MR. II",CRV,S,GA,Challenger,2022
S2GA00282,"MCCOLUMN, JONATHAN MR",REP,S,GA,Challenger,2022
S2GA00191,"NESTOR, JAMES EDWARD MR.",REP,S,GA,Challenger,2022
S4GA11285,"PERDUE, DAVID",REP,S,GA,Challenger,2022
S2GA00175,"SADDLER, LATHAM",REP,S,GA,Challenger,2022
S2GA00225,"WALKER, HERSCHEL MR.",REP,S,GA,Challenger,2022
S0GA00559,"WARNOCK, RAPHAEL",DEM,S,GA,Incumbent,2022
S2GA00167,"WRIGHT MCDONALD, REECE SIR SIR",REP,S,GA,Challenger,2022
