committee_id,committee_name,committee_type,designation,candidate_id,candidate_name
C00781427,GARY BLACK FOR SENATE INC.,Senate,Principal campaign committee,S2GA00209,"BLACK, GARY"
C00797910,CHASE OLIVER FOR US SENATE,Senate,Principal campaign committee,S2GA00274,"CHASE, OLIVER"
C00794370,"FRIENDS FOR JOSH CLARK, INC.",Senate,Principal campaign committee,S2GA00266,"CLARK, JOSHUA STEPHEN"
C00784611,COMMITTEE TO ELECT JARED B. CRAIG TO SENATE,Senate,Principal campaign committee,S2GA00217,"CRAIG, JARED B ESQ"
C00690974,DEJESUS FOR US SENATE 2020,Senate,Principal campaign committee,S0GA00377,"DEJESUS, MARCKEITH"
C00384693,GEORGIANS FOR ISAKSON,Senate,Principal campaign committee,S6GA00119,"ISAKSON, JOHN HARDY"
C00823443,"GEORGIA ON MY MIND COMMITTEE TO ELECT ANNETTE DAVIS JACKSON FOR U.S. SENATE, WRITE-IN",Senate,Principal campaign committee,S2GA00308,"JACKSON, ANNETTE JACKSON"
C00788901,ERIC YOU CANT SPELL AMERICA WITHOUT IT,Senate,Principal campaign committee,S2GA00233,"JOHNSON, ERIC CHASE"
C00726075,COMMITTEE TO ELECT TAMARA JOHNSON SHEALEY / TAMARA FOR GEORGIA,Senate,Principal campaign committee,S0GA00484,"JOHNSON-SHEALEY, TAMARA"
C00776476,"KELVIN KING FOR GEORGIA, INC.",Senate,Principal campaign committee,S2GA00183,"KING, KELVIN"
C00805721,MCCOLUMN FOR SENATE,Senate,Principal campaign committee,S2GA00282,"MCCOLUMN, JONATHAN MR"
C00547570,PERDUE FOR SENATE,Senate,Principal campaign committee,S4GA11285,"PERDUE, DAVID"
C00571620,PERDUE VICTORY INC,PAC - Nonqualified,Joint fundraising committee,S4GA11285,"PERDUE, DAVID"
C00752741,RISCH PERDUE VICTORY COMMITTEE,Senate,Joint fundraising committee,S4GA11285,"PERDUE, DAVID"
C00578542,TEAM PERDUE,PAC - Nonqualified,Joint fundraising committee,S4GA11285,"PERDUE, DAVID"
C00776328,"GEORGIANS FOR LATHAM, INC.",Senate,Principal campaign committee,S2GA00175,"SADDLER, LATHAM"
C00787853,BO 34 PAC,PAC - Qualified,Unauthorized,S2GA00225,"WALKER, HERSCHEL MR."
C00772962,WALKER FOR GA SENATE REPUBLICAN NOMINEE FUND 2022,Senate,Authorized by a candidate,S2GA00225,"WALKER, HERSCHEL MR."
C00736876,WARNOCK FOR GEORGIA,Senate,Principal campaign committee,S0GA00559,"WARNOCK, RAPHAEL"
C00774398,GEORGIA REPUBLICAN PARTY,Senate,Principal campaign committee,S2GA00167,"WRIGHT MCDONALD, REECE SIR SIR"
